slen ntax exp_t set_name sim_t min_t max_t mean_post
100 500  3 set15_10  2   2   2 0.27
100 500  3 set15_2  1   5   5 0.28
100 500  3 set15_3  1   6   6 0.27
100 500  3 set15_4  2   3   8 0.28
100 500  3 set15_5  6  11  13 0.24
100 500  3 set15_6  5  82  89 0.26
100 500  3 set15_7  1   1   1 0.27
100 500  3 set15_8  2  38  41 0.29
100 500  3 set15_9  3  15  15 0.26
100 500 10 set15_1 11  36  39 0.30
100 500 10 set15_10  9  26  29 0.27
100 500 10 set15_2  6  49  51 0.28
100 500 10 set15_3 10  23  26 0.27
100 500 10 set15_4  4   4   4 0.28
100 500 10 set15_5 12  49  52 0.24
100 500 10 set15_6  9  22  23 0.26
100 500 10 set15_7  8  15  15 0.27
100 500 10 set15_8  9  32  35 0.29
100 500 10 set15_9 12  27  31 0.26
100 500 30 set15_1 27  53  57 0.30
100 500 30 set15_10 25  97 106 0.27
100 500 30 set15_2 26  67  71 0.28
100 500 30 set15_3 25 126 134 0.27
100 500 30 set15_4 32 143 151 0.28
100 500 30 set15_5 23  74  76 0.24
100 500 30 set15_6 25  79  84 0.26
100 500 30 set15_7 23  57  65 0.27
100 500 30 set15_8 27  71  76 0.29
100 500 30 set15_9 18  64  67 0.26
1000 50  3 set16_1  2 10 10 0.96
1000 50  3 set16_10  2  2  2 0.87
1000 50  3 set16_2  4  8  8 0.82
1000 50  3 set16_3  2  2  2 0.91
1000 50  3 set16_4  1  1  1 0.94
1000 50  3 set16_5  5 25 25 0.91
1000 50  3 set16_6  5 29 29 0.91
1000 50  3 set16_7  1  7  7 0.94
1000 50  3 set16_8  7 15 15 0.92
1000 50  3 set16_9  2  6  6 0.92
1000 50 10 set16_1 10 18 18 0.96
1000 50 10 set16_10  7 19 19 0.87
1000 50 10 set16_2  4 12 12 0.82
1000 50 10 set16_3 12 30 30 0.91
1000 50 10 set16_4  8 16 16 0.94
1000 50 10 set16_5  4  8  8 0.91
1000 50 10 set16_6  8 22 22 0.91
1000 50 10 set16_7  5 13 13 0.94
1000 50 10 set16_8  5  9  9 0.92
1000 50 10 set16_9  8 20 22 0.92
1000 50 30 set16_1 14 26 27 0.96
1000 50 30 set16_10 14 21 23 0.87
1000 50 30 set16_2 15 17 17 0.82
1000 50 30 set16_3 11 29 31 0.91
1000 50 30 set16_4 11 23 25 0.94
1000 50 30 set16_5 18 26 31 0.91
1000 50 30 set16_6 18 29 31 0.91
1000 50 30 set16_7 13 25 26 0.94
1000 50 30 set16_8 13 26 28 0.92
1000 50 30 set16_9 15 25 26 0.92
1000 100  3 set17_1  1  1  1 0.86
1000 100  3 set17_10  3  9  9 0.88
1000 100  3 set17_2  1  1  1 0.82
1000 100  3 set17_3  1  9  9 0.83
1000 100  3 set17_4  2  2  2 0.85
1000 100  3 set17_5  4  8  8 0.89
1000 100  3 set17_6  1 11 11 0.87
1000 100  3 set17_7  3  7  7 0.92
1000 100  3 set17_8  2  2  2 0.87
1000 100  3 set17_9  3 33 34 0.89
