slen ntax exp_t set_name sim_t min_t max_t
50 100  3 set11_6  4  4  4
50 100  3 set11_7  5 15 19
50 100  3 set11_8  5 10 11
50 100  3 set11_9  5  2  2
50 100 10 set11_1  5 13 13
50 100 10 set11_10 10 18 22
50 100 10 set11_2  8 11 13
50 100 10 set11_3  5  8  8
50 100 10 set11_4 10  3  6
50 100 10 set11_5  8  0  3
50 100 10 set11_6  6  1  4
50 100 10 set11_7 12 21 25
50 100 10 set11_8  8 32 38
50 100 10 set11_9 10 11 15
50 100 30 set11_1 20 38 41
50 100 30 set11_10 29 23 32
50 100 30 set11_2 19 15 20
50 100 30 set11_3 25 26 31
50 100 30 set11_4 16 33 42
50 100 30 set11_5 19 36 46
50 100 30 set11_6 20 18 27
50 100 30 set11_7 17 19 28
50 100 30 set11_8 24 24 32
50 100 30 set11_9 25 36 43
50 500  3 set12_1  3  6 11
50 500  3 set12_10  5  1  1
50 500  3 set12_2  4  4  4
50 500  3 set12_3  4 10 10
50 500  3 set12_4  3  0  0
50 500  3 set12_5  1  5  5
50 500  3 set12_6  2  0  0
50 500  3 set12_7  4  0  0
50 500  3 set12_8  1  0  0
50 500  3 set12_9  3  7  7
50 500 10 set12_1 12 23 24
50 500 10 set12_10  9 10 13
50 500 10 set12_2 15 25 30
50 500 10 set12_3 14 29 35
50 500 10 set12_4  6  1  1
50 500 10 set12_5 10 28 32
50 500 10 set12_6  9 33 36
50 500 10 set12_7  7 27 35
50 500 10 set12_8 14 39 40
50 500 10 set12_9 14 20 27
50 500 30 set12_1 34 32 37
50 500 30 set12_10 28 23 33
50 500 30 set12_2 27 39 45
50 500 30 set12_3 31 59 64
50 500 30 set12_4 37 24 29
50 500 30 set12_5 29 82 89
50 500 30 set12_6 27 34 45
50 500 30 set12_7 33 47 53
50 500 30 set12_8 21 24 34
50 500 30 set12_9 24 52 63
100 50  3 set13_1  5  4  4
100 50  3 set13_10  1  4  4
100 50  3 set13_2  1  0  0
100 50  3 set13_3  2  0  0
100 50  3 set13_4  2  0  0
100 50  3 set13_5  3 12 12
100 50  3 set13_6  1  0  0
100 50  3 set13_7  1  0  0
100 50  3 set13_8  3 12 13
100 50  3 set13_9  3 18 18
100 50 10 set13_1  4  0  0
100 50 10 set13_10  7  7 10
100 50 10 set13_2  5 17 21
100 50 10 set13_3 13 11 17
100 50 10 set13_4 16 10 15
100 50 10 set13_5  3 10 10
100 50 10 set13_6  6  4  4
100 50 10 set13_7  9  9 16
100 50 10 set13_8  6 13 14
100 50 10 set13_9  9 14 18
100 50 30 set13_1 12  6 10
100 50 30 set13_10 14  9 21
100 50 30 set13_2 16  8 16
100 50 30 set13_3 14 18 24
100 50 30 set13_4  8 22 29
100 50 30 set13_5 14 11 19
100 50 30 set13_6 12 11 14
100 50 30 set13_7 12  7 10
100 50 30 set13_8 12 13 19
100 50 30 set13_9 14 12 16
100 100  3 set14_1  3  4  4
100 100  3 set14_10  5  0  1
100 100  3 set14_2  4  1  1
100 100  3 set14_3  1  0  0
100 100  3 set14_4  3 10 10
100 100  3 set14_5  2  0  0
100 100  3 set14_6  1  2  2
100 100  3 set14_7  2  1  1
100 100  3 set14_8  2 15 16
100 100  3 set14_9  2 13 17
100 100 10 set14_1 10 36 44
100 100 10 set14_10  9  6 11
100 100 10 set14_2 13 22 26
100 100 10 set14_3  5  6  6
100 100 10 set14_4  6  4  4
100 100 10 set14_5  9 12 17
100 100 10 set14_6  8 20 21
100 100 10 set14_7 10 25 27
100 100 10 set14_8 12 27 30
100 100 10 set14_9 11 26 28
100 100 30 set14_1 18 38 44
100 100 30 set14_10 15 32 35
100 100 30 set14_2 22 27 30
100 100 30 set14_3 19 12 18
100 100 30 set14_4 20 42 44
100 100 30 set14_5 25 18 24
100 100 30 set14_6 16 23 24
100 100 30 set14_7 20 33 39
100 100 30 set14_8 22 39 45
100 100 30 set14_9 17 32 39
100 500  3 set15_1  1  0  0
100 500  3 set15_10  1  0  0
100 500  3 set15_2  4  1  4
100 500  3 set15_3  1  1  4
100 500  3 set15_4  3  0  0
100 500  3 set15_5  1  0  0
100 500  3 set15_6  1  5  5
100 500  3 set15_7  3  4  4
100 500  3 set15_8  2 16 16
100 500  3 set15_9  1  0  0
100 500 10 set15_1  8 42 43
100 500 10 set15_10 21 42 46
100 500 10 set15_2  6  1  1
100 500 10 set15_3 12 19 19
100 500 10 set15_4 13 14 15
100 500 10 set15_5 12 56 57
100 500 10 set15_6  9 25 29
100 500 10 set15_7 12 17 19
100 500 10 set15_8  5 40 40
100 500 10 set15_9  8 19 22
100 500 30 set15_1 24 81 89
100 500 30 set15_10 31 39 39
100 500 30 set15_2 23 43 49
100 500 30 set15_3 26 39 43
100 500 30 set15_4 24 29 34
100 500 30 set15_5 24 31 36
100 500 30 set15_6 34 40 44
100 500 30 set15_7 34 43 45
100 500 30 set15_8 22 43 46
100 500 30 set15_9 27 32 40
1000 50  3 set16_1  4  0  0
1000 50  3 set16_10  1  0  0
1000 50  3 set16_2  1  0  0
1000 50  3 set16_3  1  4  4
1000 50  3 set16_4  6  0  0
1000 50  3 set16_5  3  6  6
1000 50  3 set16_6  3  4  4
1000 50  3 set16_7  1  0  0
1000 50  3 set16_8  2  0  0
1000 50  3 set16_9  2  0  0
1000 50 10 set16_1 11 13 16
1000 50 10 set16_10  4 10 10
1000 50 10 set16_2  8 16 17
1000 50 10 set16_3  6  4  4
1000 50 10 set16_4  6 10 10
1000 50 10 set16_5  9 12 15
1000 50 10 set16_6  4  4  4
1000 50 10 set16_7  8 10 10
1000 50 10 set16_8  4 10 10
1000 50 10 set16_9  9  8 11
1000 50 30 set16_1 12 15 18
1000 50 30 set16_10 11 22 22
1000 50 30 set16_2 15 13 14
1000 50 30 set16_3 10 12 12
1000 50 30 set16_4 18 14 15
1000 50 30 set16_5 13 18 20
1000 50 30 set16_6 11 16 19
1000 50 30 set16_7 26  9 13
1000 50 30 set16_8 14  9 13
1000 50 30 set16_9 13 10 12
1000 100  3 set17_1  4 22 22
1000 100  3 set17_10  4 22 22
1000 100  3 set17_2  3  8  8
1000 100  3 set17_3  2 10 10
1000 100  3 set17_4  3  0  0
1000 100  3 set17_5  3 34 35
1000 100  3 set17_6  1  0  0
1000 100  3 set17_7  3  4  4
1000 100  3 set17_8  2  0  0
1000 100  3 set17_9  1  0  0
1000 100 10 set17_1  9 30 30
1000 100 10 set17_10 10  4  5
1000 100 10 set17_2  7  6  6
1000 100 10 set17_3 12 10 11
1000 100 10 set17_4 10  5  8
1000 100 10 set17_5  8 12 12
